#,Kanji,Onyomi,Kunyomi,Kanji Meaning
81,外,"gai, geガイ、 ゲ","soto, hoka, hazu-, to-そと、 ほか、 はず(す)、 と-",outside
82,最,saiサイ,motto(mo)もっと(も),"utmost, most, extreme"
83,言,"gen, gonゲン、 ゴン","i(u), kotoい（う）、 こと","say, word"
84,氏,shiシ,ujiうじ,"family name, surname, clan"
85,現,genゲン,"arawa(reru), utsu(tsu)あらわ(れる)、 うつ(つ)","present, existing, actual"
86,理,riリ,,"logic, arrangement, reason, justice, truth"
87,調,chouチョウ,"shira(beru), tono(u)しら(べる)、ととの(う)","tune, tone, meter, prepare, investigate"
88,体,taiタイ,karadaからだ,"body, substance, object, reality"
89,化,"ka, keカ、 ケ","ba(keru), fu(keru)ば(ける)、 ふ(ける)","change, take the form of, influence, enchant, delude, -ization"
90,田,denデン,taた,"rice field, rice paddy"
91,当,touトウ,a(taru)あ(たる),"hit, right, appropriate"
92,八,hachiハチ,"ya(tsu), youや(つ)、 よう","eight, 8"
93,六,rokuロク,"mu(tsu), muiむ(つ)、 むい","six, 6"
94,約,yakuヤク,tsuzu(maru)つづ(まる),"promise, approximately, shrink"
95,主,shuシュ,"nushi, omoぬし、 おも","lord, chief, master, main thing, principal"
96,題,daiダイ,,"topic, subject"
97,下,"ka, geカ、 ゲ","shita, shimo, moto, sa(geru), kuda(ru), o(rosu)した、 しも、 もと、 さ(げる)、 くだ(る)、 お(ろす)","below, down, descend, give, low, inferior"
98,首,shuシュ,kubiくび,neck
99,意,iイ,,"idea, mind, heart, taste, thought"
100,法,houホウ,noriのり,"method, law, rule, principle, model, system"
